index,date,time,price,open_24h,low_24h,high_24h,last_size,last_size_value,bid,bid_size,ask,ask_size,volume_24h,volume_30d,side
32,2024-06-16,03:08:50.263064,66116.65,66226.52,65800.86,66428.57,0.0000195,1.289274675,66116.64,0.00759714,66116.66,0.45962917,1747.08699026,270131.17136297,sell
33,2024-06-16,03:08:50.263064,66116.64,66226.52,65800.86,66428.57,0.00305557,202.0240216848,66116.64,0.00454157,66116.66,0.45962917,1747.09004583,270131.17441854,sell
34,2024-06-16,03:08:50.478243,66116.65,66226.52,65800.86,66428.57,0.00001947,1.2872911755,66116.64,0.00654157,66116.65,0.53587706,1747.09006530,270131.17443801,buy
35,2024-06-16,03:08:50.686711,66116.65,66226.52,65800.86,66428.57,0.00027714,18.323568380999998,66116.64,0.00454157,66116.65,0.53559992,1747.09034244,270131.17471515,buy
36,2024-06-16,03:08:50.756922,66116.65,66226.52,65800.86,66428.57,0.00035201,23.2737219665,66116.64,0.00454157,66116.65,0.53524791,1747.09069445,270131.17506716,buy
37,2024-06-16,03:08:50.796971,66116.65,66226.52,65800.86,66428.57,0.00005138,3.3970734769999997,66116.64,0.00454157,66116.65,0.53519653,1747.09074583,270131.17511854,buy
38,2024-06-16,03:08:50.796971,66116.65,66226.52,65800.86,66428.57,0.00030062,19.875987322999997,66116.64,0.00454157,66116.65,0.53489591,1747.09104645,270131.17541916,buy
39,2024-06-16,03:08:50.943963,66116.65,66226.52,65800.86,66428.57,0.00071884,47.527292685999996,66116.64,0.00454157,66116.65,0.53487707,1747.09176529,270131.17613800,buy
40,2024-06-16,03:08:51.048120,66116.65,66226.52,65800.86,66428.57,0.00358618,237.106207897,66116.64,0.00454157,66116.65,0.53129089,1747.09535147,270131.17972418,buy
41,2024-06-16,03:08:51.191197,66116.65,66226.52,65800.86,66428.57,0.00014973,9.8996460045,66116.64,0.00454157,66116.65,0.53114116,1747.09550120,270131.17987391,buy
42,2024-06-16,03:08:51.337053,66116.65,66226.52,65800.86,66428.57,0.000352,23.273060799999996,66116.64,0.00454157,66116.65,0.53078916,1747.09585320,270131.18022591,buy
43,2024-06-16,03:08:51.467267,66116.65,66226.52,65800.86,66428.57,0.0001349,8.919136085,66116.64,0.00454157,66116.65,0.53065426,1747.09598810,270131.18036081,buy
44,2024-06-16,03:08:51.515097,66116.65,66226.52,65800.86,66428.57,0.00035201,23.2737219665,66116.64,0.00454157,66116.65,0.53030225,1747.09634011,270131.18071282,buy
45,2024-06-16,03:08:51.699241,66116.65,66226.52,65800.86,66428.57,0.00144127,95.29194414549998,66116.64,0.00454157,66116.65,0.53117115,1747.09778138,270131.18215409,buy
46,2024-06-16,03:08:52.111662,66116.65,66226.52,65800.86,66428.57,0.00027714,18.323568380999998,66116.64,0.00454157,66116.65,0.53089401,1747.09805852,270131.18243123,buy
47,2024-06-16,03:08:52.492797,66116.65,66226.52,65800.86,66428.57,0.00007486,4.949492418999999,66116.64,0.00454157,66116.65,0.52081915,1747.09813338,270131.18250609,buy
48,2024-06-16,03:08:52.639519,66116.65,66226.52,65800.86,66428.57,0.00027714,18.323568380999998,66116.64,0.00454157,66116.65,0.52054201,1747.09841052,270131.18278323,buy
49,2024-06-16,03:08:52.712065,66116.65,66226.52,65800.86,66428.57,0.00074863,49.4969076895,66116.64,0.00454157,66116.65,0.51979338,1747.09915915,270131.18353186,buy
